"Higher Level Collection","Collection ID","Collection or Subsection Name","Main Collection or Subsection","Date Created","Record ID","Primary Seed","Title of Target","Description","Language","Licence Status","LD Criteria","Institution ID","Updated","Depth","Scope","Robots.txt","Crawl Frequency","Crawl Start Date","Crawl End Date"
NULL,1230,Scottish Churches,Main Collection,2018-09-04 07:20:23.622,70776,http://fraserburghbaptist.co.uk/,Fraserburgh Baptist Church,"Site of a Scottish Christian church and its congregation of the Baptist denomination located in Fraserburgh, Aberdeenshire.",EN,NULL,false,3,2018-09-04 07:21:40.740,CAPPED_LARGE,root,true,ANNUAL,2018-09-05 09:00:00.000,NULL
NULL,1230,Scottish Churches,Main Collection,2018-09-04 07:42:10.843,70782,http://lerwickbaptist.org.uk/,Lerwick Baptist Church,"Site of a Scottish Christian church and its congregation of the Baptist denomination located in Lerwick, Shetland.",EN,PENDING,false,3,2018-09-18 09:47:11.848,CAPPED_LARGE,root,true,ANNUAL,2018-09-05 09:00:00.000,NULL
NULL,1230,Scottish Churches,Main Collection,2018-10-05 12:52:07.380,72216,https://www.discoverychurchdunbar.co.uk/,Discovery Church Dunbar,"Site of a Scottish Elim Pentecostal (Christian) Church located in Dunbar, East Lothian.",EN,NULL,false,3,2018-10-05 12:53:17.456,CAPPED_LARGE,root,true,ANNUAL,2018-10-06 09:00:00.000,NULL
NULL,1230,Scottish Churches,Main Collection,2018-07-17 09:54:39.875,68966,http://www.catholicchurchgirvan.org.uk/,"Sacred Hearts of Jesus and Mary, Girvan","Site of a Scottish Roman Catholic church located in Girvan, Ayrshire which incorporates the Our Lady and Saint Cuthbert church, Maybole.",EN,NULL,false,3,2018-07-17 10:00:24.025,CAPPED_LARGE,root,true,ANNUAL,2018-07-18 09:00:00.000,NULL
NULL,1230,Scottish Churches,Main Collection,2018-09-04 07:33:23.769,70780,http://islaybaptistchurch.org.uk/,Islay Baptist Church,"Site of a Scottish Christian church and its congregation of the Baptist denomination located in Bowmore, Islay.",EN,PENDING,false,3,2018-09-18 09:45:49.125,CAPPED_LARGE,root,true,ANNUAL,2018-09-05 09:00:00.000,NULL
NULL,1230,Scottish Churches,Main Collection,2018-10-05 12:49:50.325,72215,http://elimscottishborders.co.uk/,Elim Community Church Hawick,"Site of a Scottish Elim Pentecostal (Christian) Church located in Hawick, Scottish Borders.",EN,NULL,false,3,2018-10-05 12:51:23.590,CAPPED_LARGE,root,true,ANNUAL,2018-10-06 09:00:00.000,NULL
NULL,1230,Scottish Churches,Main Collection,2018-09-04 07:22:40.129,70777,http://gerrardstreet.com/,Gerrard Street Baptist Church,Site of a Scottish Christian church and its congregation of the Baptist denomination located in Aberdeen.,EN,NULL,false,3,2018-09-04 07:26:06.922,CAPPED_LARGE,root,true,ANNUAL,2018-09-05 09:00:00.000,NULL
NULL,1230,Scottish Churches,Main Collection,2020-11-02 08:50:58.774,124823,https://www.facebook.com/hjaltlandchristianfellowship/,Hjaltland Christian Fellowship on Facebook,"Facebook page of a non denominational charismatic
Church based in Lerwick Shetland.",EN,NOT_INITIATED,false,3,2022-09-12 15:56:54.143,CAPPED_LARGE,root,false,DOMAINCRAWL,NULL,NULL
NULL,1230,Scottish Churches,Main Collection,2018-04-10 13:19:56.092,63961,http://www.sgt.church/,St. George's Tron Church,"",EN,PENDING,false,3,2018-07-27 07:54:28.184,CAPPED,root,NULL,ANNUAL,2018-05-02 09:00:00.000,NULL
NULL,1230,Scottish Churches,Main Collection,2018-10-06 09:42:51.597,72280,http://www.perthelim.org.uk/,Perth Elim Christian Life Centre,Site of an Elim Pentecostal church (Christian) located in Perth.,EN,PENDING,false,3,2018-10-17 15:34:23.533,CAPPED_LARGE,root,NULL,ANNUAL,2018-10-07 09:00:00.000,NULL
NULL,1230,Scottish Churches,Main Collection,2018-10-06 10:01:45.240,72284,https://www.gracechurchelim.co.uk/,Grace Church Dunfermline,"Site of an Elim Pentecostal church (Christian) located in Dunfermline, Fife.",EN,NULL,false,3,2018-10-06 10:03:23.987,CAPPED_LARGE,root,true,ANNUAL,2018-10-07 09:00:00.000,NULL
NULL,1230,Scottish Churches,Main Collection,2018-10-06 09:47:11.407,72281,http://www.strathmorecf.org.uk/,Strathmore Christian Fellowship,"Site of an Elim Pentecostal church (Christian) located in Kirriemuir, Angus.",EN,PENDING,false,3,2018-10-17 15:34:31.768,CAPPED_LARGE,root,NULL,ANNUAL,2018-10-07 09:00:00.000,NULL
NULL,1230,Scottish Churches,Main Collection,2018-10-06 10:05:42.221,72285,http://eliminscotland.org.uk/,Elim Scotland,Site of the Scottish branch of the Elim Pentecostal Church.,EN,PENDING,false,3,2018-10-17 15:35:17.466,CAPPED_LARGE,root,true,SIXMONTHLY,2018-10-07 09:00:00.000,NULL
NULL,1230,Scottish Churches,Main Collection,2018-10-06 10:11:00.094,72287,http://pcfministries.org/,Peoples Church Falkirk (PCF) Ministries,Site of an Elim Pentecostal church (Christian) located in Falkirk.,EN,NULL,false,3,2018-10-06 10:13:46.917,CAPPED_LARGE,root,true,ANNUAL,2018-10-07 09:00:00.000,NULL
NULL,1230,Scottish Churches,Main Collection,2018-06-29 11:42:26.807,68431,http://www.aberdun.org.uk/,Aberuthven and Dunning Parish Church of Scotland,"Site of a Church of Scotland parish church for the parishes of Aberuthven and Dunning, Perth & Kinross",EN,PENDING,false,3,2018-08-07 13:09:22.118,CAPPED_LARGE,root,NULL,ANNUAL,2018-06-30 09:00:00.000,NULL
NULL,1230,Scottish Churches,Main Collection,2018-04-05 12:14:32.249,63677,http://www.ayrstleonards.org.uk/,St. Leonard's Parish Church,The website of St. Leonard's Parish Church.,EN,PENDING,false,3,2018-07-18 09:33:51.954,CAPPED,root,NULL,ANNUAL,2018-04-18 09:00:00.000,NULL
NULL,1230,Scottish Churches,Main Collection,2018-04-10 16:03:38.966,63986,http://www.barrhead-standrewschurch.org.uk,Barrhead St. Andrew's Parish Church,"",EN,PENDING,false,3,2018-07-18 09:37:56.039,CAPPED,root,true,ANNUAL,2018-05-03 09:00:00.000,NULL
NULL,1230,Scottish Churches,Main Collection,2018-02-28 09:34:04.165,61824,https://monimailchurch.wordpress.com/,Monimail Church,"Site of a Church of Scotland parish church at Monimail, near Cupar, Fife.",EN,NULL,false,3,2018-07-18 09:28:29.486,CAPPED,root,true,ANNUAL,2018-03-01 09:00:00.000,NULL
NULL,1230,Scottish Churches,Main Collection,2018-04-04 15:13:12.582,63635,http://www.baljaffraychurch.org.uk,Baljaffray Parish Church,"",EN,PENDING,false,3,2018-07-18 09:34:56.019,CAPPED_LARGE,root,true,ANNUAL,2018-05-23 09:00:00.000,NULL
NULL,1230,Scottish Churches,Main Collection,2018-04-10 14:53:25.636,63977,http://www.bartholchapel.com/,Barthol Chapel,"",EN,PENDING,false,3,2018-07-18 09:38:11.251,CAPPED_LARGE,root,true,ANNUAL,2018-06-06 09:00:00.000,NULL
NULL,1230,Scottish Churches,Main Collection,2017-03-21 12:13:41.658,50882,http://www.kirk-of-st-nicholas.org.uk/,"Kirk of St Nicholas Uniting, The","The website of the Kirk of St. Nicholas Uniting, located in Aberdeen. ",EN,PENDING,false,3,2018-07-18 09:25:24.085,CAPPED_LARGE,root,NULL,SIXMONTHLY,2017-03-22 09:00:00.000,NULL
NULL,1230,Scottish Churches,Main Collection,2018-03-06 09:27:44.377,62182,https://bellshillcentral.wordpress.com/,Bellshill Central Parish Church of Scotland ,"Site of a Church of Scotland parish church at Belshill, Lanarkshire.",EN,NULL,false,3,2018-07-18 09:29:54.888,CAPPED_LARGE,root,true,ANNUAL,2018-03-07 09:00:00.000,NULL
